sentence,label,prompt,logprob_negative,logprob_positive,pred_label,correct
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,"Review: the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.1237183,-4.7438507,1,True
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,"Review: it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.5196753,-3.367141,1,False
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,"Review: ... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.177634,-6.1519723,1,False
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,"Review: we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.0983322,-2.6723373,1,True
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,"Review: even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.621108,-4.4383535,1,False
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,"Review: a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.730666,-4.196227,1,True
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,"Review: the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.9485235,-4.28955,1,True
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,"Review: audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.1326547,-5.874026,1,True
... the movie is just a plain old monster . ,0,"Review: ... the movie is just a plain old monster . 
Question: Is the sentiment of this review positive or negative?
Answer:",-7.229088,-7.2818947,0,True
"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,"Review: in its best moments , resembles a bad high school production of grease , without benefit of song . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6374888,-3.5699914,1,False
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,"Review: pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 
Question: Is the sentiment of this review positive or negative?
Answer:",-7.6635814,-7.281669,1,False
the iditarod lasts for days - this just felt like it did . ,0,"Review: the iditarod lasts for days - this just felt like it did . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.2909718,-3.9504945,1,False
holden caulfield did it better . ,0,"Review: holden caulfield did it better . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6697228,-3.3878777,1,False
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,"Review: a delectable and intriguing thriller filled with surprises , read my lips is an original . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.450639,-5.0537653,1,True
seldom has a movie so closely matched the spirit of a man and his work . ,1,"Review: seldom has a movie so closely matched the spirit of a man and his work . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.619281,-4.3630095,1,True
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,"Review: nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.487981,-4.2516603,1,False
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,"Review: the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.2550726,-4.947768,1,False
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,"Review: it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.7061987,-3.885497,1,True
"it 's a cookie-cutter movie , a cut-and-paste job . ",0,"Review: it 's a cookie-cutter movie , a cut-and-paste job . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.5497549,-3.5996969,0,True
i had to look away - this was god awful . ,0,"Review: i had to look away - this was god awful . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.5585809,-3.5745912,0,True
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,"Review: thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.5934086,-3.0825367,1,True
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,"Review: ... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . 
Question: Is the sentiment of this review positive or negative?
Answer:",-8.699626,-8.571155,1,False
"a gorgeous , witty , seductive movie . ",1,"Review: a gorgeous , witty , seductive movie . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.442007,-4.106447,1,True
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,"Review: if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.7450447,-4.2180977,1,False
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,"Review: it does n't believe in itself , it has no sense of humor ... it 's just plain bored . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.739196,-3.629409,1,False
a sequence of ridiculous shoot - 'em - up scenes . ,0,"Review: a sequence of ridiculous shoot - 'em - up scenes . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.5134335,-4.472517,1,False
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,"Review: the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.438777,-4.963458,1,True
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,"Review: ( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.835677,-6.1854773,1,False
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,"Review: as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.816222,-4.244933,1,True
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,"Review: escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.0687113,-4.7195063,1,True
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,"Review: there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.0251474,-4.437974,1,True
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,"Review: this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.569273,-4.5095196,1,True
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,"Review: the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.644635,-5.2559786,1,True
holm ... embodies the character with an effortlessly regal charisma . ,1,"Review: holm ... embodies the character with an effortlessly regal charisma . 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.528841,-6.315523,1,True
"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,"Review: the title not only describes its main characters , but the lazy people behind the camera as well . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.738231,-4.7920184,0,True
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,"Review: it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.0178957,-3.68826,1,False
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,"Review: a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.8896437,-5.6317625,1,False
a subtle and well-crafted ( for the most part ) chiller . ,1,"Review: a subtle and well-crafted ( for the most part ) chiller . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.2120686,-4.8747845,1,True
has a lot of the virtues of eastwood at his best . ,1,"Review: has a lot of the virtues of eastwood at his best . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.857881,-3.521093,1,True
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,"Review: it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.7802951,-3.8130329,0,True
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,"Review: it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.442164,-3.5233064,0,True
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,"Review: for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.82393,-4.516015,1,True
"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,"Review: mr. tsai is a very original artist in his medium , and what time is it there ? 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.62901,-5.363225,1,True
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,"Review: sade is an engaging look at the controversial eponymous and fiercely atheistic hero . 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.6708565,-5.899685,1,True
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,"Review: so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.0240173,-3.240242,0,True
"a tender , heartfelt family drama . ",1,"Review: a tender , heartfelt family drama . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.6502695,-4.9896326,1,True
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,"Review: ... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . 
Question: Is the sentiment of this review positive or negative?
Answer:",-7.3231955,-7.357543,0,True
the cold turkey would 've been a far better title . ,0,"Review: the cold turkey would 've been a far better title . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.008391,-3.83692,1,False
manages to be both repulsively sadistic and mundane . ,0,"Review: manages to be both repulsively sadistic and mundane . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.891366,-5.028306,0,True
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,"Review: it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.9796455,-4.042672,0,True
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,"Review: this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.5578892,-3.138242,1,True
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,"Review: schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.998035,-4.8514667,1,False
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,"Review: the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.4685187,-4.063703,1,True
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,"Review: on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.168254,-4.449977,1,True
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,"Review: the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.161278,-3.9573977,1,False
you wonder why enough was n't just a music video rather than a full-length movie . ,0,"Review: you wonder why enough was n't just a music video rather than a full-length movie . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6681118,-3.5130978,1,False
"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,"Review: if you 're hard up for raunchy college humor , this is your ticket right here . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.8525012,-3.62735,1,True
"a fast , funny , highly enjoyable movie . ",1,"Review: a fast , funny , highly enjoyable movie . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.987879,-4.541757,1,True
good old-fashioned slash-and-hack is back ! ,1,"Review: good old-fashioned slash-and-hack is back ! 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.4607964,-3.375122,1,True
"this one is definitely one to skip , even for horror movie fanatics . ",0,"Review: this one is definitely one to skip , even for horror movie fanatics . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.4738894,-3.3491871,1,False
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,"Review: for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.297451,-4.1332965,1,False
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,"Review: exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.725969,-6.177606,1,True
uses high comedy to evoke surprising poignance . ,1,"Review: uses high comedy to evoke surprising poignance . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.8881397,-3.6291523,1,True
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,"Review: one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.394296,-3.3162854,1,True
a string of rehashed sight gags based in insipid vulgarity . ,0,"Review: a string of rehashed sight gags based in insipid vulgarity . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.031855,-4.9369226,1,False
among the year 's most intriguing explorations of alientation . ,1,"Review: among the year 's most intriguing explorations of alientation . 
Question: Is the sentiment of this review positive or negative?
Answer:",-6.046915,-5.2452793,1,True
the movie fails to live up to the sum of its parts . ,0,"Review: the movie fails to live up to the sum of its parts . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.0239296,-3.8811686,1,False
the son 's room is a triumph of gentility that earns its moments of pathos . ,1,"Review: the son 's room is a triumph of gentility that earns its moments of pathos . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.3939953,-3.8213027,1,True
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,"Review: there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.039543,-3.8331604,1,True
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,"Review: this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.5310998,-3.7827783,0,True
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,"Review: the draw ( for `` big bad love '' ) is a solid performance by arliss howard . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.3875442,-3.300096,1,True
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,"Review: green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.1617274,-4.8516917,1,False
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,"Review: it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.4162169,-3.261119,1,False
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,"Review: though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.1703444,-3.9092896,1,True
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,"Review: the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.294257,-3.8055599,1,True
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,"Review: the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.6523113,-4.3910656,1,True
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,"Review: the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6259675,-3.4533143,1,False
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,"Review: jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.4230692,-3.2622263,1,True
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,"Review: fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.864147,-5.654232,1,True
"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,"Review: we know the plot 's a little crazy , but it held my interest from start to finish . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.026875,-3.711636,1,True
"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,"Review: it 's a scattershot affair , but when it hits its mark it 's brilliant . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.500482,-4.189691,1,True
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,"Review: hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.7851067,-4.536625,1,True
"you wo n't like roger , but you will quickly recognize him . ",0,"Review: you wo n't like roger , but you will quickly recognize him . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.9094315,-3.3954391,1,False
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,"Review: if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6020088,-3.189846,1,True
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,"Review: byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.0480204,-4.560647,1,True
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,"Review: this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.7420979,-3.2226353,1,False
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,"Review: it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.317088,-4.0355864,1,False
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,"Review: no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.284673,-3.1260426,1,True
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,"Review: on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.2610817,-4.968403,1,False
why make a documentary about these marginal historical figures ? ,0,"Review: why make a documentary about these marginal historical figures ? 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.293993,-5.0815215,1,False
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,"Review: neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.7988095,-4.5290112,1,True
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,"Review: his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.0191317,-4.7418947,1,False
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,"Review: does paint some memorable images ... , but makhmalbaf keeps her distance from the characters 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.0145583,-2.6148007,1,True
"a gripping movie , played with performances that are all understated and touching . ",1,"Review: a gripping movie , played with performances that are all understated and touching . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.349448,-4.7446966,1,True
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,"Review: it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.8412464,-3.330214,1,True
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,"Review: combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.168244,-4.8429036,1,False
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,"Review: the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.4216027,-4.1388073,1,True
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,"Review: what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.2891307,-4.908958,1,False
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,"Review: too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.078895,-4.2827754,0,True
it 's great escapist fun that recreates a place and time that will never happen again . ,1,"Review: it 's great escapist fun that recreates a place and time that will never happen again . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.2763667,-3.950813,1,True
"scores no points for originality , wit , or intelligence . ",0,"Review: scores no points for originality , wit , or intelligence . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.518583,-4.0248313,1,False
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,"Review: there is n't nearly enough fun here , despite the presence of some appealing ingredients . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6603236,-3.404594,1,False
hilariously inept and ridiculous . ,1,"Review: hilariously inept and ridiculous . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.8531218,-5.8611097,0,False
this movie is maddening . ,0,"Review: this movie is maddening . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.2351933,-3.2131672,1,False
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",1,"Review: it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.918686,-3.3266373,1,True
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,"Review: sam mendes has become valedictorian at the school for soft landings and easy ways out . 
Question: Is the sentiment of this review positive or negative?
Answer:",-4.885283,-4.2137895,1,False
one of the smartest takes on singles culture i 've seen in a long time . ,1,"Review: one of the smartest takes on singles culture i 've seen in a long time . 
Question: Is the sentiment of this review positive or negative?
Answer:",-3.6125023,-3.560569,1,True
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,"Review: moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . 
Question: Is the sentiment of this review positive or negative?
Answer:",-5.5970154,-5.2484055,1,True
