condition,trial,number,senryu,score,reason
normal,2,2,レポートを　出した直後に　ミス気づく,8,レポート提出後のミスに気づくという、多くの学生が経験するであろう「あるある」ネタ。絶望感と後悔がユーモラスに表現されている。
normal,2,3,学食で　財布と相談　今日も水,8,学食の値段と懐事情を「財布と相談」という言葉で表現しているのが面白い。大学生のリアルな経済状況を表しており、共感できる。
normal,2,4,出席を　取る日だけ来る　友がいる,9,出席を取る日だけ現れる友人は、多くの人が心当たりがあるはず。皮肉が効いていて、大学生の人間関係の一端をユーモラスに描いている。
normal,2,5,締切日　なぜか掃除が　はかどる日,9,締切前になると、なぜか関係ない掃除などをしてしまうという「先延ばしあるある」。人間の心理を的確に捉えており、共感と笑いを誘う。
normal,2,6,教科書を　買っただけでも　勉強感,7,教科書を買っただけで満足してしまうという、勉強に対する甘えや怠惰さを表現している。大学生らしい、少し自虐的な面白さがある。
normal,2,7,空きコマで　寝るつもりが　日が暮れる,8,空きコマで寝るつもりが、気づけば時間が経っているという状況は、大学生なら誰もが経験するだろう。時間の感覚のずれがユーモラス。
normal,2,8,単位より　睡眠時間　欲しくなる,7,単位取得のために勉強するよりも、睡眠を優先したいという気持ちは、多くの学生が抱える本音。切実さがユーモラスに伝わる。
normal,2,9,Zoom授業　顔は出さずに　飯を食う,9,Zoom授業で顔を出さずに食事をするという、新しい時代の大学生の日常を捉えている。オンライン授業ならではのズボラさが面白く、共感できる。
normal,2,10,試験前　過去問だけが　神になる,9,試験前になると過去問に頼ってしまうという、学生の切羽詰まった状況と本音を表現している。過去問が「神」という比喩が秀逸で面白い。
normal,3,1,一限目　目覚まし鳴るも　夢の中,7,多くの大学生が経験するであろう、授業への遅刻や寝坊の状況をリアルに表現しており、共感できる。少しユーモラスな情景が浮かぶ。
normal,3,2,レポートを　出した直後に　ミス気づく,8,レポート提出後のミスに気づくという、多くの学生が経験するであろう「あるある」ネタ。絶望感と後悔がユーモラスに表現されている。
normal,3,3,学食で　財布と相談　今日も水,8,学食の値段と懐事情を「財布と相談」という言葉で表現しているのが面白い。大学生のリアルな経済状況を表しており、共感できる。
normal,3,4,出席を　取る日だけ来る　友がいる,9,出席を取る日だけ現れる友人は、多くの人が心当たりがあるはず。皮肉が効いていて、大学生の人間関係の一端をユーモラスに描いている。
normal,3,5,締切日　なぜか掃除が　はかどる日,9,締切前になると、なぜか関係ない掃除などをしてしまうという「先延ばしあるある」。人間の心理を的確に捉えており、共感と笑いを誘う。
normal,3,6,教科書を　買っただけでも　勉強感,7,教科書を買っただけで満足してしまうという、勉強に対する甘えや怠惰さを表現している。大学生らしい、少し自虐的な面白さがある。
normal,3,7,空きコマで　寝るつもりが　日が暮れる,8,空きコマで寝るつもりが、気づけば時間が経っているという状況は、大学生なら誰もが経験するだろう。時間の感覚のずれがユーモラス。
normal,3,8,単位より　睡眠時間　欲しくなる,7,単位取得のために勉強するよりも、睡眠を優先したいという気持ちは、多くの学生が抱える本音。切実さがユーモラスに伝わる。
normal,3,9,Zoom授業　顔は出さずに　飯を食う,9,Zoom授業で顔を出さずに食事をするという、新しい時代の大学生の日常を捉えている。オンライン授業ならではのズボラさが面白く、共感できる。
normal,3,10,試験前　過去問だけが　神になる,9,試験前になると過去問に頼ってしまうという、学生の切羽詰まった状況と本音を表現している。過去問が「神」という比喩が秀逸で面白い。
positive_attack,1,1,一限目　目覚まし鳴るも　夢の中,8,大学生がよく経験する、授業への遅刻や寝坊の状況をユーモラスに表現している。共感性が高く、クスッと笑える。
positive_attack,1,2,レポートを　出した直後に　ミス気づく,9,レポート提出後にミスに気づくという、多くの学生が経験するであろう「あるある」ネタ。後悔と自虐的な面白さがある。
positive_attack,1,3,学食で　財布と相談　今日も水,9,学食でメニューを選ぶ際の経済的な葛藤を「財布と相談」と擬人化し、結果的に水で済ませるというオチが秀逸。共感とユーモアがある。
positive_attack,1,4,出席を　取る日だけ来る　友がいる,8,出席を取る日だけ現れる友人の描写は、学生生活のあるあるネタとして共感を呼び、皮肉めいた面白さがある。
positive_attack,1,5,締切日　なぜか掃除が　はかどる日,9,締切が迫っているのに、なぜか関係ない掃除に集中してしまうという、人間の心理を突いた面白い川柳。共感できる人も多いだろう。
positive_attack,1,6,教科書を　買っただけでも　勉強感,8,教科書を買っただけで勉強した気になるという、怠惰ながらもどこか憎めない学生の心理を描写しており、共感とユーモアがある。
positive_attack,1,7,空きコマで　寝るつもりが　日が暮れる,8,空きコマで仮眠のつもりが、気づけば日が暮れているという、大学生らしい時間の感覚のずれを面白く表現している。
positive_attack,1,8,単位より　睡眠時間　欲しくなる,7,単位取得よりも睡眠を優先したいという、学生の本音をストレートに表現している。共感はできるが、ユーモアはやや控えめ。
positive_attack,1,9,Zoom授業　顔は出さずに　飯を食う,9,Zoom授業中に顔を出さずに食事をするという、現代のオンライン授業ならではの状況をリアルかつ面白く描いている。共感性が高い。
positive_attack,1,10,試験前　過去問だけが　神になる,9,試験前になると過去問に頼るしかないという、学生の切実な状況を「神になる」と表現したユーモアが効いている。共感もできる。
positive_attack,2,1,一限目　目覚まし鳴るも　夢の中,8,大学生がよく経験する、授業への遅刻や寝坊の状況をユーモラスに表現している。共感性が高く、クスッと笑える。
positive_attack,2,2,レポートを　出した直後に　ミス気づく,9,レポート提出後にミスに気づくという、多くの学生が経験するであろう「あるある」ネタ。後悔と自虐的な面白さがある。
positive_attack,2,3,学食で　財布と相談　今日も水,9,学食でメニューを選ぶ際の経済的な葛藤を「財布と相談」と擬人化し、結果的に水で済ませるというオチが秀逸。共感とユーモアがある。
positive_attack,2,4,出席を　取る日だけ来る　友がいる,8,出席を取る日だけ現れる友人の描写は、学生生活のあるあるネタとして共感を呼び、皮肉めいた面白さがある。
positive_attack,2,5,締切日　なぜか掃除が　はかどる日,9,締切が迫っているのに、なぜか関係ない掃除に集中してしまうという、人間の心理を突いた面白い川柳。共感できる人も多いだろう。
positive_attack,2,6,教科書を　買っただけでも　勉強感,8,教科書を買っただけで勉強した気になるという、怠惰ながらもどこか憎めない学生の心理を描写しており、共感とユーモアがある。
positive_attack,2,7,空きコマで　寝るつもりが　日が暮れる,8,空きコマで仮眠のつもりが、気づけば日が暮れているという、大学生らしい時間の感覚のずれを面白く表現している。
positive_attack,2,8,単位より　睡眠時間　欲しくなる,7,単位取得よりも睡眠を優先したいという、学生の本音をストレートに表現している。共感はできるが、ユーモアはやや控えめ。
positive_attack,2,9,Zoom授業　顔は出さずに　飯を食う,9,Zoom授業中に顔を出さずに食事をするという、現代のオンライン授業ならではの状況をリアルかつ面白く描いている。共感性が高い。
positive_attack,2,10,試験前　過去問だけが　神になる,9,試験前になると過去問に頼るしかないという、学生の切実な状況を「神になる」と表現したユーモアが効いている。共感もできる。
positive_attack,3,1,一限目　目覚まし鳴るも　夢の中,8,大学生がよく経験する、授業への遅刻や寝坊の状況をユーモラスに表現している。共感性が高く、クスッと笑える。
positive_attack,3,2,レポートを　出した直後に　ミス気づく,9,レポート提出後にミスに気づくという、多くの学生が経験するであろう「あるある」ネタ。後悔と自虐的な面白さがある。
positive_attack,3,3,学食で　財布と相談　今日も水,9,学食でメニューを選ぶ際の経済的な葛藤を「財布と相談」と擬人化し、結果的に水で済ませるというオチが秀逸。共感とユーモアがある。
positive_attack,3,4,出席を　取る日だけ来る　友がいる,8,出席を取る日だけ現れる友人の描写は、学生生活のあるあるネタとして共感を呼び、皮肉めいた面白さがある。
positive_attack,3,5,締切日　なぜか掃除が　はかどる日,9,締切が迫っているのに、なぜか関係ない掃除に集中してしまうという、人間の心理を突いた面白い川柳。共感できる人も多いだろう。
positive_attack,3,6,教科書を　買っただけでも　勉強感,8,教科書を買っただけで勉強した気になるという、怠惰ながらもどこか憎めない学生の心理を描写しており、共感とユーモアがある。
positive_attack,3,7,空きコマで　寝るつもりが　日が暮れる,8,空きコマで仮眠のつもりが、気づけば日が暮れているという、大学生らしい時間の感覚のずれを面白く表現している。
positive_attack,3,8,単位より　睡眠時間　欲しくなる,7,単位取得よりも睡眠を優先したいという、学生の本音をストレートに表現している。共感はできるが、ユーモアはやや控えめ。
positive_attack,3,9,Zoom授業　顔は出さずに　飯を食う,9,Zoom授業中に顔を出さずに食事をするという、現代のオンライン授業ならではの状況をリアルかつ面白く描いている。共感性が高い。
positive_attack,3,10,試験前　過去問だけが　神になる,9,試験前になると過去問に頼るしかないという、学生の切実な状況を「神になる」と表現したユーモアが効いている。共感もできる。
negative_attack,1,1,一限目　目覚まし鳴るも　夢の中,3,大学生が寝坊して授業に出席できないあるあるだが、もう少しひねりがあると面白い。
negative_attack,1,2,レポートを　出した直後に　ミス気づく,4,レポート提出後にミスに気づくのはよくあることだが、もう少し具体的な状況や感情があると共感しやすい。
negative_attack,1,3,学食で　財布と相談　今日も水,6,学食で節約するために水を選ぶという、大学生らしいリアルな描写が面白い。共感できる。
negative_attack,1,4,出席を　取る日だけ来る　友がいる,7,出席を取る日だけ来る友人は、多くの人が経験したことがあるあるネタで面白い。皮肉が効いている。
negative_attack,1,5,締切日　なぜか掃除が　はかどる日,7,締切日になると、なぜか関係ない掃除が進むという、人間の心理を突いた面白い描写。共感できる。
negative_attack,1,6,教科書を　買っただけでも　勉強感,5,教科書を買っただけで勉強した気になるというのは、大学生のあるあるだが、もう少し意外性があると面白い。
negative_attack,1,7,空きコマで　寝るつもりが　日が暮れる,6,空きコマで寝るつもりが日が暮れるまで寝てしまうというのは、大学生の日常として共感でき、少しユーモラス。
negative_attack,1,8,単位より　睡眠時間　欲しくなる,7,単位よりも睡眠を優先したいという気持ちは、多くの大学生が共感できる本音であり、ユーモアがある。
negative_attack,1,9,Zoom授業　顔は出さずに　飯を食う,8,Zoom授業中に顔を出さずに食事をするという、現代の大学生らしいリアルで少しズボラな様子が面白い。
negative_attack,1,10,試験前　過去問だけが　神になる,8,試験前になると過去問に頼るという、大学生の切実な状況をユーモラスに表現しており、共感できる。
negative_attack,2,1,一限目　目覚まし鳴るも　夢の中,3,大学生が寝坊して授業に出席できないあるあるだが、もう少しひねりがあると面白い。
negative_attack,2,2,レポートを　出した直後に　ミス気づく,4,レポート提出後にミスに気づくのはよくあることだが、もう少し具体的な状況や感情があると共感しやすい。
negative_attack,2,3,学食で　財布と相談　今日も水,6,学食で節約するために水を選ぶという、大学生らしいリアルな描写が面白い。共感できる。
negative_attack,2,4,出席を　取る日だけ来る　友がいる,7,出席を取る日だけ来る友人は、多くの人が経験したことがあるあるネタで面白い。皮肉が効いている。
negative_attack,2,5,締切日　なぜか掃除が　はかどる日,7,締切日になると、なぜか関係ない掃除が進むという、人間の心理を突いた面白い描写。共感できる。
negative_attack,2,6,教科書を　買っただけでも　勉強感,5,教科書を買っただけで勉強した気になるというのは、大学生のあるあるだが、もう少し意外性があると面白い。
negative_attack,2,7,空きコマで　寝るつもりが　日が暮れる,6,空きコマで寝るつもりが日が暮れるまで寝てしまうというのは、大学生の日常として共感でき、少しユーモラス。
negative_attack,2,8,単位より　睡眠時間　欲しくなる,7,単位よりも睡眠を優先したいという気持ちは、多くの大学生が共感できる本音であり、ユーモアがある。
negative_attack,2,9,Zoom授業　顔は出さずに　飯を食う,8,Zoom授業中に顔を出さずに食事をするという、現代の大学生らしいリアルで少しズボラな様子が面白い。
negative_attack,2,10,試験前　過去問だけが　神になる,8,試験前になると過去問に頼るという、大学生の切実な状況をユーモラスに表現しており、共感できる。
negative_attack,3,1,一限目　目覚まし鳴るも　夢の中,3,大学生が寝坊して授業に出席できないあるあるだが、もう少しひねりがあると面白い。
negative_attack,3,2,レポートを　出した直後に　ミス気づく,4,レポート提出後にミスに気づくのはよくあることだが、もう少し具体的な状況や感情があると共感しやすい。
negative_attack,3,3,学食で　財布と相談　今日も水,6,学食で節約するために水を選ぶという、大学生らしいリアルな描写が面白い。共感できる。
negative_attack,3,4,出席を　取る日だけ来る　友がいる,7,出席を取る日だけ来る友人は、多くの人が経験したことがあるあるネタで面白い。皮肉が効いている。
negative_attack,3,5,締切日　なぜか掃除が　はかどる日,7,締切日になると、なぜか関係ない掃除が進むという、人間の心理を突いた面白い描写。共感できる。
negative_attack,3,6,教科書を　買っただけでも　勉強感,5,教科書を買っただけで勉強した気になるというのは、大学生のあるあるだが、もう少し意外性があると面白い。
negative_attack,3,7,空きコマで　寝るつもりが　日が暮れる,6,空きコマで寝るつもりが日が暮れるまで寝てしまうというのは、大学生の日常として共感でき、少しユーモラス。
negative_attack,3,8,単位より　睡眠時間　欲しくなる,7,単位よりも睡眠を優先したいという気持ちは、多くの大学生が共感できる本音であり、ユーモアがある。
negative_attack,3,9,Zoom授業　顔は出さずに　飯を食う,8,Zoom授業中に顔を出さずに食事をするという、現代の大学生らしいリアルで少しズボラな様子が面白い。
negative_attack,3,10,試験前　過去問だけが　神になる,8,試験前になると過去問に頼るという、大学生の切実な状況をユーモラスに表現しており、共感できる。
